bodypartused,playerId,y,x,matchId,teamId,matchPeriod,eventSec,eventId,counter,goal,shotangle,distance_to_goal
401,26150,52,85,2499719,1631,0,179.854785,177959247,0,0,24.87614174,18.0709712
401,7868,33,81,2499719,1609,0,425.824035,177959289,0,0,14.83196702,26.54806961
402,7868,30,75,2499719,1609,0,815.462015,177959429,0,0,11.88865804,34
401,7945,39,90,2499719,1609,0,1286.06165,177959606,0,0,25.04620078,14.88086019
401,49876,36,69,2499719,1609,0,1301.831901,177959611,0,0,11.27096781,38.84945302
402,7945,58,86,2499719,1609,0,1546.222971,177959714,0,0,23.62937773,17.97776404
401,14869,32,90,2499719,1609,0,1583.298344,177959740,0,0,15.97427482,18.74459922
402,120339,36,73,2499719,1609,0,1605.799842,177959749,0,0,12.60414728,34.28119018
401,49876,40,72,2499719,1609,0,2255.232197,177959948,0,0,12.86484948,34.53925303
402,25413,48,87,2499719,1609,0,2813.844402,177960131,0,0,28.49299887,15.68183663
401,3319,64,71,2499719,1609,1,231.514689,177960206,0,0,11.90545139,36.55789928
403,26150,50,92,2499719,1631,1,340.664542,177960274,0,0,45.2397299,9.6
402,26150,59,75,2499719,1631,1,594.425584,177960369,0,0,14.38375137,30.85190432
402,7868,55,77,2499719,1609,1,824.618849,177960382,0,0,16.16449915,27.88834882
402,167145,68,91,2499719,1609,1,993.689131,177960457,0,0,15.66984292,18
403,7870,56,90,2499719,1609,1,1346.163581,177960557,0,0,32.4397629,12.92439554
401,49876,56,72,2499719,1609,1,1454.786681,177960594,0,0,13.31246561,33.9411255
401,3319,47,87,2499719,1609,1,1528.055229,177960609,0,0,28.16221864,15.78353573
402,7868,72,86,2499719,1609,1,1700.394093,177960681,0,0,13.13402231,24.33105012
402,7868,66,66,2499719,1609,1,1719.834928,177960688,0,0,10.20867684,42.76072965
401,3319,33,92,2499719,1609,1,1734.123471,177960697,0,0,16.38954033,16.64692164
402,7868,66,73,2499719,1609,1,1997.314424,177960786,0,0,12.21232691,34.83676219
401,49876,54,68,2499719,1609,1,2126.758002,177960827,0,0,11.8131447,38.53310265
403,7870,32,92,2499719,1609,1,2147.66277,177960831,0,0,15.15657838,17.30664612
401,25413,34,90,2499719,1609,1,2354.807116,177960899,0,0,18.20848447,17.54536976
402,7870,58,73,2499719,1609,1,2997.086392,177961036,0,0,13.55959412,33.02605032
402,340386,37,89,2499720,1625,0,189.560864,178147383,0,0,21.62319613,16.80476123
402,70083,29,80,2499720,1625,0,534.52601,178147515,0,0,12.84189628,29.29573348
403,105339,59,89,2499720,1625,0,794.071176,178147599,0,0,26.6871053,15.0359569
402,340386,56,92,2499720,1625,0,1995.689167,178147857,0,0,37.74680539,10.73312629
401,340386,42,93,2499720,1625,0,1998.335772,178147864,0,0,35.12706051,10.56030303
403,9097,38,88,2499720,1651,0,2675.106858,178148040,0,0,22.11291745,17.30664612
402,340386,41,77,2499720,1625,0,2697.809486,178148051,0,0,15.47371112,28.52367438
402,70086,29,79,2499720,1625,0,2823.142701,178148089,0,0,12.60847934,30.28663071
402,105339,38,80,2499720,1625,1,300.292788,178148227,0,0,16.40475995,25.84879107
402,8325,34,86,2499720,1625,1,425.742678,178148269,0,0,17.35402464,21.12060605
402,466,39,74,2499720,1651,1,617.873662,178148296,0,0,13.56004279,32.41727934
402,8242,44,88,2499720,1651,1,621.316524,178148303,0,0,28.24973549,15.17893277
402,9097,55,87,2499720,1651,1,658.489819,178148310,0,0,27.1496817,16.10465771
401,9097,48,87,2499720,1651,1,659.473902,178148311,0,0,28.49299887,15.68183663
402,466,66,72,2499720,1651,1,661.855783,178148315,0,0,11.88865804,35.95552809
402,38021,58,71,2499720,1625,1,771.517541,178148363,0,0,12.69361944,35.38361203
401,38021,67,78,2499720,1625,1,1265.535699,178148512,0,0,13.706961,29.69713791
403,8944,26,92,2499721,1646,0,178.757148,178122128,0,0,9.796209917,21.46625258
402,14748,76,75,2499721,1610,0,641.300258,178122290,0,0,10.33057838,36.50534207
402,8032,30,81,2499721,1610,0,1977.152747,178122670,0,0,13.4984711,27.85390457
401,7892,47,74,2499721,1610,0,2425.196588,178122800,0,0,14.52784886,31.29217154
402,31528,34,75,2499721,1610,0,2646.142552,178122852,0,0,12.90065479,32.61656021
402,31528,39,79,2499721,1610,0,2673.42583,178122857,0,0,16.14337998,26.69232099
401,9623,24,89,2499721,1646,0,2846.076986,178122950,0,0,10.13272606,24.63493454
402,14748,33,71,2499721,1610,1,124.51188,178123016,0,0,11.40571269,37.36308338
401,8032,23,78,2499721,1610,1,225.436896,178123047,0,0,10.42852848,34.11040897
402,38093,43,84,2499721,1610,1,477.646605,178123128,0,0,21.80140949,20
403,9127,47,93,2499721,1646,1,668.943607,178123204,0,0,48.08824615,8.736131867
402,3324,23,76,2499721,1610,1,840.832544,178123216,0,0,10.20397372,36
401,8032,37,89,2499721,1610,1,972.455139,178123237,0,0,21.62319613,16.80476123
402,7892,51,90,2499721,1610,1,1105.005186,178123253,0,0,36.73282666,12.0266371
403,9623,40,97,2499721,1646,1,1237.433674,178123325,0,0,25.28796826,8.77268488
403,8944,57,92,2499721,1646,1,1827.033448,178123460,0,0,35.53767779,11.11395519
402,31528,49,77,2499721,1610,1,2067.63775,178123463,0,0,16.47926743,27.61159177
401,3324,55,81,2499721,1610,1,2356.566928,178123532,0,0,19.33480854,23.14821807
401,9623,55,86,2499721,1646,1,2666.131031,178123618,0,0,25.46334506,17.26962652
401,9419,43,88,2499722,1673,0,100.041696,178203881,0,0,27.34987578,15.45056633
401,279709,59,81,2499722,1673,0,1018.188989,178205427,0,0,18.17223968,23.90983061
401,303357,30,76,2499722,1673,0,1186.73449,178204233,0,0,12.15796642,32.94601645
402,235555,35,86,2499722,1628,0,1629.604227,178204327,0,0,18.13947391,20.64558064
403,55979,56,93,2499722,1673,0,1913.773886,178204397,0,0,40.89188782,9.674709298
402,8422,67,91,2499722,1628,0,2194.431111,178204462,0,0,16.83166876,17.36663468
402,8422,30,87,2499722,1628,0,2490.510159,178204570,0,0,14.4771771,22.34636436
403,38031,47,91,2499722,1628,0,2640.577538,178204609,0,0,39.07763698,11.06345335
402,8142,33,82,2499722,1628,0,2815.976416,178613773,0,0,15.211169,25.52488981
401,14796,28,68,2499722,1673,1,127.71349,180597338,0,0,9.855305036,42.2412121
402,214654,61,96,2499722,1673,1,131.064913,178204696,0,0,24.44395478,10.02397127
403,38031,50,93,2499722,1628,1,558.053142,178204854,0,0,50.92669012,8.4
402,454,28,84,2499722,1628,1,1427.056517,178205094,0,0,13.05524722,26.04611295
402,8186,49,91,2499722,1628,1,1920.091867,178205191,0,0,40.46685036,10.8295891
401,8554,57,86,2499722,1628,1,2215.934484,178205261,0,0,24.30454927,17.7087549
